,Locality,Postcode,Fire_Activity_Occurrences
206,SOUTH DUDLEY,3995,0
207,DALYSTON,3992,0
208,WEST CREEK,3992,0
209,ROSEBROOK,3285,0
210,WEDDERBURN,3518,0
211,NELSE,3699,0
212,BULDAH,3890,0
213,TORRITA,3490,0
214,NEUARPURR,3413,0
215,BOORT,3537,0
216,BEAUCHAMP,3579,0
217,ARCHIES CREEK,3995,0
218,ANNUELLO,3549,0
219,BIG DESERT,3490,3
220,MERRINEE,3496,0
221,BENAMBRA,3900,1
222,MERINGUR,3496,0
223,WOODSTOCK,3751,0
224,BELLBRAE,3228,0
225,KENMARE,3395,0
226,WILLENABRINA,3393,0
227,FISKVILLE,3342,0
228,CRYMELON,3393,0
229,AUBREY,3393,0
230,NULLA VALE,3435,0
231,WOOLAMAI,3995,0
232,ALMURTA,3979,0
233,CAPE PATERSON,3995,0
234,KILCUNDA,3995,0
235,WERRIMULL,3496,0
236,WINGAN RIVER,3891,0
237,PYRAMID HILL,3575,0
238,COMBIENBAR,3889,0
239,LAKE MARMAL,3525,2
240,JIL JIL,3483,0
241,WARNE,3530,0
242,CULGOA,3530,0
243,WARRAGUL SOUTH,3821,0
244,HORDERN VALE,3238,0
245,BUNGEET WEST,3726,0
246,WATTLE BANK,3995,0
247,HORSHAM,3400,0
248,LONGERENONG,3399,0
249,TATYOON,3378,2
250,BARKERS CREEK,3451,0
251,TOWER HILL,3283,0
252,KNOXFIELD,3180,1
253,IRREWILLIPE EAST,3249,0
254,ROSEBUD,3939,0
255,COCOROC,3030,0
256,ALLAMBEE,3823,0
257,TOOLERN VALE,3337,0
258,DIGGERS REST,3427,0
259,FRANKLINFORD,3461,0
260,PYALONG,3521,0
261,HILLDENE,3660,0
262,MAINDAMPLE,3723,0
263,MARTHAVALE,3875,0
264,DORODONG,3312,24
265,NOORINBEE NORTH,3890,0
266,TOORA,3962,1
267,TOOMBON,3825,0
268,FLORA HILL,3550,0
269,BRANDY CREEK,3821,0
270,TAYLORS LAKES,3038,0
271,ULTIMA,3544,0
272,BRAVINGTON,3821,0
273,DIAMOND CREEK,3089,0
274,WATTLE GLEN,3096,0
275,SKENES CREEK NORTH,3233,0
276,WYE RIVER,3221,0
277,CAPE BRIDGEWATER,3305,0
278,BOHO SOUTH,3669,0
279,KENNETT RIVER,3221,0
280,EVERSLEY,3377,0
281,GREY RIVER,3221,0
282,ELMHURST,3469,0
283,PETTICOAT CREEK,3233,0
284,HARMERS HAVEN,3995,0
285,TERRICK TERRICK EAST,3573,0
286,NORTH WONTHAGGI,3995,0
287,DENISON,3858,0
288,MANSFIELD,3722,0
289,KADNOOK,3318,2
290,CAMPBELLS BRIDGE,3381,0
291,BARFOLD,3444,0
292,DANDENONG SOUTH,3164,2
293,DANDENONG,3175,0
294,LYNBROOK,3975,0
295,GLENAROUA,3764,0
296,YEA,3717,0
297,MURRINDINDI,3717,0
298,LONGWARRY NORTH,3816,0
299,JAM JERRUP,3984,0
300,WULGULMERANG,3885,0
301,WULGULMERANG EAST,3885,0
302,BRUMBY,3885,0
303,SWAN REACH,3903,0
304,FERNY CREEK,3786,0
305,CAIRNLEA,3023,0
306,TYRRELL,3533,0
307,DALES CREEK,3341,0
308,BAMBRA,3241,0
309,MAIN LEAD,3373,0
310,CLOVERLEA,3822,0
311,WESTMEADOWS,3049,0
312,PATTERSON LAKES,3197,0
313,NOORINBEE,3890,0
314,AIRPORT WEST,3042,0
315,PATYAH,3318,0
316,MORTLAKE,3272,0
317,QUAMBATOOK,3540,0
318,TYNTYNDER SOUTH,3586,1
319,ASHWOOD,3147,0
320,ABERFELDIE,3040,0
321,PENTLAND HILLS,3341,0
322,SEAFORD,3198,0
