latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-35.216,142.473,313.9,1,1,2020-09-05,0420,Aqua,MODIS,49,6.0NRT,297.4,10.1,D
-36.341,145.428,301.6,1.8,1.3,2020-09-06,0050,Terra,MODIS,48,6.0NRT,289.7,10.1,D
-37.066,148.613,311,1,1,2020-09-07,0410,Aqua,MODIS,69,6.0NRT,298.4,8.1,D
-35.942,147.252,303.7,1,1,2020-09-07,0410,Aqua,MODIS,54,6.0NRT,293,4,D
-36.103,147.472,349.6,1,1,2020-09-07,0410,Aqua,MODIS,96,6.0NRT,295.1,60.7,D
-36.102,147.483,339.6,1,1,2020-09-07,0410,Aqua,MODIS,91,6.0NRT,293.6,42.2,D
-37.711,148.06,308.9,1,1,2020-09-07,0410,Aqua,MODIS,64,6.0NRT,297.5,6.2,D
-37.784,143.834,307.1,1.2,1.1,2020-09-07,0410,Aqua,MODIS,65,6.0NRT,288.8,10.8,D
-38.645,146.292,305.3,1,1,2020-09-07,0410,Aqua,MODIS,60,6.0NRT,294.3,5.4,D
-36.107,147.481,304.6,1.6,1.2,2020-09-08,0035,Terra,MODIS,59,6.0NRT,289.4,12.1,D
-34.502,142.329,313.2,1,1,2020-09-08,0035,Terra,MODIS,29,6.0NRT,296.1,5.8,D
-34.83,143.279,310.2,1,1,2020-09-08,0035,Terra,MODIS,48,6.0NRT,294.3,5.7,D
-37.696,148.463,303.6,1.1,1,2020-09-09,0355,Aqua,MODIS,56,6.0NRT,291.2,5.9,D
-37.83,144.794,308.4,1,1,2020-09-10,0025,Terra,MODIS,67,6.0NRT,293.7,5.5,D
-36.425,145.441,306.8,1,1,2020-09-10,0025,Terra,MODIS,64,6.0NRT,292,6.4,D
-38.141,145.497,301.5,1,1,2020-09-10,0025,Terra,MODIS,47,6.0NRT,289,4.7,D
-35.228,143.463,312.7,1.1,1,2020-09-10,0025,Terra,MODIS,66,6.0NRT,295.6,9,D
-36.507,141.488,316.3,1.1,1,2020-09-10,0440,Aqua,MODIS,75,6.0NRT,298.4,11.4,D
-34.08,142.04,315.9,1.2,1.1,2020-09-10,0440,Aqua,MODIS,57,6.0NRT,304.9,7.7,D
-36.105,147.478,305.2,2.2,1.4,2020-09-10,0440,Aqua,MODIS,61,6.0NRT,291.9,20.3,D
-37.668,147.544,302.1,2,1.4,2020-09-10,0440,Aqua,MODIS,50,6.0NRT,289.4,15,D
-35.926,141.374,316.1,1.1,1,2020-09-10,0440,Aqua,MODIS,72,6.0NRT,300.3,10.1,D
-36.505,141.5,315.5,1.1,1,2020-09-10,0440,Aqua,MODIS,74,6.0NRT,298.2,10.8,D
-36.119,147.47,322.8,1.6,1.3,2020-09-11,0345,Aqua,MODIS,82,6.0NRT,292.9,43.6,D
-34.524,142.809,314.5,1.1,1,2020-09-15,0040,Terra,MODIS,60,6.0NRT,297.4,9.4,D
-34.84,142.425,309.7,1.1,1,2020-09-15,0040,Terra,MODIS,41,6.0NRT,295.5,5,D
-34.833,142.439,308.2,1.1,1,2020-09-15,0040,Terra,MODIS,24,6.0NRT,294.4,4.1,D
-34.523,142.797,312.3,1.1,1,2020-09-15,0040,Terra,MODIS,47,6.0NRT,296.2,7.3,D
-37.902,145.245,301,1.5,1.2,2020-09-15,0045,Terra,MODIS,35,6.0NRT,289.1,4.8,D
-35.931,141.39,308.2,1,1,2020-09-15,0045,Terra,MODIS,54,6.0NRT,294.9,4.9,D
-37.589,141.191,306.6,1.6,1.3,2020-09-15,0455,Aqua,MODIS,64,6.0NRT,290.9,13.3,D
-37.601,141.181,327.1,1.6,1.2,2020-09-15,0455,Aqua,MODIS,85,6.0NRT,291.1,47.6,D
-37.592,141.173,321.8,1.6,1.2,2020-09-15,0455,Aqua,MODIS,81,6.0NRT,291.1,38.4,D
-38.016,145.198,304.3,2.7,1.6,2020-09-15,0455,Aqua,MODIS,17,6.0NRT,287.9,16.9,D
-34.612,143.122,315.6,2.5,1.5,2020-09-15,0500,Aqua,MODIS,69,6.0NRT,301.4,28.5,D
-35.671,145.157,308.4,1.8,1.3,2020-09-15,1245,Terra,MODIS,74,6.0NRT,279.8,30,N
-35.696,145.198,304.8,2.5,1.5,2020-09-15,2345,Terra,MODIS,60,6.0NRT,291.4,21.4,D
-37.594,141.198,307,2.1,1.4,2020-09-16,0400,Aqua,MODIS,65,6.0NRT,293.4,17.1,D
-37.079,146.251,315,1.1,1.1,2020-09-16,0400,Aqua,MODIS,75,6.0NRT,292,14.3,D
-37.592,141.203,307.4,2.1,1.4,2020-09-16,0400,Aqua,MODIS,65,6.0NRT,293.3,18.9,D
-37.077,146.245,320.6,1.1,1.1,2020-09-16,0400,Aqua,MODIS,80,6.0NRT,291.9,21.7,D
-36.11,147.479,325.8,1,1,2020-09-16,0405,Aqua,MODIS,84,6.0NRT,296.7,23.6,D
-36.057,147.805,310.2,1,1,2020-09-16,0405,Aqua,MODIS,70,6.0NRT,298.7,7.6,D
-36.068,145.084,308.8,1.2,1.1,2020-09-16,0405,Aqua,MODIS,47,6.0NRT,294.1,8.2,D
-36.058,145.082,317.7,1.2,1.1,2020-09-16,0405,Aqua,MODIS,78,6.0NRT,294.8,18.4,D
-35.702,145.189,317.8,1.2,1.1,2020-09-16,0405,Aqua,MODIS,77,6.0NRT,298,14.8,D
-35.692,145.188,318.2,1.2,1.1,2020-09-16,0405,Aqua,MODIS,63,6.0NRT,297.7,14.6,D
-35.693,145.174,356.4,1.2,1.1,2020-09-16,0405,Aqua,MODIS,98,6.0NRT,300.7,94.9,D
-34.74,142.641,318.2,1,1,2020-09-18,1315,Terra,MODIS,96,6.0NRT,289.2,17.8,N
-35.648,144.327,305,1,1,2020-09-21,0420,Aqua,MODIS,38,6.0NRT,291.1,5.5,D
-37.823,145.302,302.6,1,1,2020-09-21,0420,Aqua,MODIS,29,6.0NRT,292,3.2,D
-37.446,143.276,301.2,1.3,1.1,2020-09-23,0410,Aqua,MODIS,45,6.0NRT,286.7,8,D
-36.621,148.515,304.3,1,1,2020-09-28,0010,Terra,MODIS,54,6.0NRT,291.4,5.5,D
-35.822,147.586,305.2,1,1,2020-09-28,0010,Terra,MODIS,61,6.0NRT,288.6,6.9,D
-34.817,142.445,312.6,1,1,2020-09-28,0430,Aqua,MODIS,54,6.0NRT,299.8,4.6,D
-34.865,142.424,308.8,1.1,1,2020-10-01,0040,Terra,MODIS,51,6.0NRT,295.2,4.5,D
-36.046,141.983,304.4,1.1,1,2020-10-01,0045,Terra,MODIS,51,6.0NRT,291,4,D
-38.095,145.166,301.8,1.5,1.2,2020-10-01,0045,Terra,MODIS,26,6.0NRT,287.7,5.2,D
-38.012,145.204,308.8,2.7,1.6,2020-10-01,0455,Aqua,MODIS,47,6.0NRT,292.1,23.2,D
-37.141,148.663,314.6,1,1,2020-10-02,0400,Aqua,MODIS,72,6.0NRT,298.9,8.2,D
-37.14,148.674,323.4,1,1,2020-10-02,0400,Aqua,MODIS,81,6.0NRT,299.9,16.4,D
-36.616,146.894,304.7,1.1,1,2020-10-02,0400,Aqua,MODIS,60,6.0NRT,293.6,5.4,D
