"","Locality","Postcode","Fire_Activity_Occurrences","Levels"
"1","DORODONG",3312,24,"Critical"
"2","GIFFARD WEST",3851,10,"High"
"3","SHELLEY",3701,8,"Moderate"
"4","RUPANYUP",3388,7,"Moderate"
"5","DERGHOLM",3312,6,"Moderate"
"6","BEAUFORT",3373,6,"Moderate"
"7","FERNBANK",3864,5,"Moderate"
"8","POOLAIJELO",3312,4,"Low"
"9","IRAAK",3494,4,"Low"
"10","LAVERTON NORTH",3026,4,"Low"
"11","LITTLE RIVER",3211,3,"Low"
"12","LAKE BOLAC",3351,3,"Low"
"13","MOUNT BUTE",3324,3,"Low"
"14","CHARAM",3318,3,"Low"
"15","MOORALLA",3314,2,"Low"
"16","DARTMOOR",3304,2,"Low"
"17","GLENISLA",3314,2,"Low"
"18","KADNOOK",3318,2,"Low"
"19","BANGERANG",3393,2,"Low"
"20","BROKEN CREEK",3673,2,"Low"
"21","MIRRANATWA",3294,2,"Low"
"22","CAVENDISH",3314,2,"Low"
"23","WHOROULY SOUTH",3735,2,"Low"
"24","POWLETT PLAINS",3517,2,"Low"
"25","MUMBANNAR",3304,2,"Low"
"26","MURGHEBOLUC",3218,2,"Low"
"27","LINDSAY POINT",3496,2,"Low"
"28","GLENTHOMPSON",3293,1,"Low"
"29","KANIVA",3419,1,"Low"
"30","TELOPEA DOWNS",3420,1,"Low"
"31","BORNES HILL",3379,1,"Low"
"32","ROCKLANDS",3401,1,"Low"
"33","BUCHAN SOUTH",3885,1,"Low"
"34","MACARTHUR",3286,1,"Low"
"35","LISMORE",3324,1,"Low"
"36","CURLEWIS",3222,1,"Low"
"37","NELSON",3292,1,"Low"
"38","POWERS CREEK",3312,1,"Low"
"39","NORADJUHA",3401,1,"Low"
"40","BROOKVILLE",3896,1,"Low"
"41","CARRAJUNG SOUTH",3844,1,"Low"
"42","RAINBOW",3424,1,"Low"
"43","BUNGAREE",3352,1,"Low"
"44","GUYS FOREST",3709,1,"Low"
"45","ST ARNAUD",3478,1,"Low"
"46","TRESCO",3583,1,"Low"
"47","MEREDITH",3333,1,"Low"
"48","SMEATON",3364,1,"Low"
"49","BANNERTON",3549,1,"Low"
"50","WICKLIFFE",3379,1,"Low"
"51","TRAGOWEL",3579,1,"Low"
"52","ULLSWATER",3318,1,"Low"
"53","BOUNDARY BEND",3599,1,"Low"
"54","GNARWARRE",3221,1,"Low"
"55","RED CLIFFS",3496,1,"Low"
"56","SHELFORD",3329,1,"Low"
"57","CORNDALE",3311,1,"Low"
"58","POUND CREEK",3996,1,"Low"
"59","ROSEDALE",3847,1,"Low"
"60","TEMPY",3489,1,"Low"
"61","ANAKIE",3213,1,"Low"
"62","MURTOA",3390,1,"Low"
"63","UNDERBOOL",3509,0,"No fires recorded"
"64","NURRAN",3888,0,"No fires recorded"
"65","WOORNDOO",3272,0,"No fires recorded"
"66","DEPTFORD",3875,0,"No fires recorded"
"67","YANAC",3418,0,"No fires recorded"
"68","MINIMAY",3413,0,"No fires recorded"
"69","GLEN FORBES",3990,0,"No fires recorded"
"70","ADAMS ESTATE",3984,0,"No fires recorded"
"71","CARAG CARAG",3623,0,"No fires recorded"
"72","CANNUM",3393,0,"No fires recorded"
"73","WALLUP",3401,0,"No fires recorded"
"74","MURRA WARRA",3401,0,"No fires recorded"
"75","KALKEE",3401,0,"No fires recorded"
"76","WAIL",3401,0,"No fires recorded"
"77","PIMPINIO",3401,0,"No fires recorded"
"78","DOOEN",3401,0,"No fires recorded"
"79","VECTIS",3401,0,"No fires recorded"
"80","QUANTONG",3401,0,"No fires recorded"
"81","STANHOPE",3623,0,"No fires recorded"
"82","TERRICK TERRICK",3575,0,"No fires recorded"
"83","METCALFE EAST",3444,0,"No fires recorded"
"84","OMEO",3898,0,"No fires recorded"
"85","YAPEEN",3451,0,"No fires recorded"
"86","LOGAN",3475,0,"No fires recorded"
"87","TOM GROGGIN",3707,0,"No fires recorded"
"88","TAMBOON",3890,0,"No fires recorded"
"89","WONGUNGARRA",3862,0,"No fires recorded"
"90","WILSONS PROMONTORY",3960,0,"No fires recorded"
"91","GUILDFORD",3451,0,"No fires recorded"
"92","WILLAURA",3379,0,"No fires recorded"
"93","COBBERAS",3900,0,"No fires recorded"
"94","MACLEOD",3085,0,"No fires recorded"
"95","HEIDELBERG WEST",3081,0,"No fires recorded"
"96","MONEGEETTA",3433,0,"No fires recorded"
"97","PERONNE",3413,0,"No fires recorded"
"98","TUTYE",3490,0,"No fires recorded"
"99","DUNKELD",3294,0,"No fires recorded"
"100","SUGGAN BUGGAN",3885,0,"No fires recorded"
"101","BAW BAW",3833,0,"No fires recorded"
"102","LARPENT",3249,0,"No fires recorded"
"103","MURROON",3243,0,"No fires recorded"
"104","WAHRING",3608,0,"No fires recorded"
"105","COOJAR",3315,0,"No fires recorded"
"106","SEAVIEW",3821,0,"No fires recorded"
"107","LABERTOUCHE",3816,0,"No fires recorded"
"108","DEEPDENE",3103,0,"No fires recorded"
"109","DROUIN WEST",3818,0,"No fires recorded"
"110","JINDIVICK",3818,0,"No fires recorded"
"111","GREENS CREEK",3381,0,"No fires recorded"
"112","MURRAYVILLE",3512,0,"No fires recorded"
"113","EDENHOPE",3318,0,"No fires recorded"
"114","WARRACKNABEAL",3393,0,"No fires recorded"
"115","DANDONGADALE",3737,0,"No fires recorded"
"116","GELANTIPY",3885,0,"No fires recorded"
"117","LINGA",3509,0,"No fires recorded"
"118","BOINKA",3490,0,"No fires recorded"
"119","TENBY POINT",3984,0,"No fires recorded"
"120","CORONET BAY",3984,0,"No fires recorded"
"121","CORINELLA",3984,0,"No fires recorded"
"122","CROYDON SOUTH",3136,0,"No fires recorded"
"123","BANKSIA PENINSULA",3875,0,"No fires recorded"
"124","GEORGES CREEK",3700,0,"No fires recorded"
"125","PASCOE VALE",3044,0,"No fires recorded"
"126","KULWIN",3490,0,"No fires recorded"
"127","WALPEUP",3507,0,"No fires recorded"
"128","WYCHEPROOF",3527,0,"No fires recorded"
"129","MARENGO",3233,0,"No fires recorded"
"130","CAPE OTWAY",3233,0,"No fires recorded"
"131","WATTLE HILL",3237,0,"No fires recorded"
"132","GELLIBRAND LOWER",3237,0,"No fires recorded"
"133","PRINCETOWN",3269,0,"No fires recorded"
"134","PETERBOROUGH",3270,0,"No fires recorded"
"135","SCOTSBURN",3352,0,"No fires recorded"
"136","REEDY CREEK",3658,0,"No fires recorded"
"137","JUNGABURRA",3575,0,"No fires recorded"
"138","BARJARG",3723,0,"No fires recorded"
"139","KEYSBOROUGH",3173,0,"No fires recorded"
"140","FUMINA",3825,0,"No fires recorded"
"141","SURREY HILLS",3127,0,"No fires recorded"
"142","LAHARUM",3401,0,"No fires recorded"
"143","WATCHUPGA",3485,0,"No fires recorded"
"144","NAREEN",3315,0,"No fires recorded"
"145","HOTSPUR",3303,0,"No fires recorded"
"146","PIONEER BAY",3984,0,"No fires recorded"
"147","LANG LANG",3984,0,"No fires recorded"
"148","ANDERSON",3995,0,"No fires recorded"
"149","BASS",3991,0,"No fires recorded"
"150","BANGHOLME",3175,0,"No fires recorded"
"151","TANJIL BREN",3833,0,"No fires recorded"
"152","DUVERNEY",3323,0,"No fires recorded"
"153","LASCELLES",3487,0,"No fires recorded"
"154","GRAMPIANS",3314,0,"No fires recorded"
"155","MARYSVILLE",3779,0,"No fires recorded"
"156","BENALLA",3671,0,"No fires recorded"
"157","LONGFORD",3851,0,"No fires recorded"
"158","HEXHAM",3273,0,"No fires recorded"
"159","PENSHURST",3289,0,"No fires recorded"
"160","BURNLEY",3121,0,"No fires recorded"
"161","WINDSOR",3181,0,"No fires recorded"
"162","ESSENDON WEST",3040,0,"No fires recorded"
"163","TETOORA ROAD",3821,0,"No fires recorded"
"164","GLENDONALD",3364,0,"No fires recorded"
"165","BALMATTUM",3666,0,"No fires recorded"
"166","WOOMELANG",3485,0,"No fires recorded"
"167","PATCHEWOLLOCK",3491,0,"No fires recorded"
"168","KOOREH",3477,0,"No fires recorded"
"169","NHILL",3418,0,"No fires recorded"
"170","DARTMOUTH",3701,0,"No fires recorded"
"171","DIGGORA",3561,0,"No fires recorded"
"172","LILLIMUR",3420,0,"No fires recorded"
"173","WULGULMERANG WEST",3885,0,"No fires recorded"
"174","SWAN ISLAND",3225,0,"No fires recorded"
"175","KYVALLEY",3621,0,"No fires recorded"
"176","BRANXHOLME",3302,0,"No fires recorded"
"177","TANJIL",3825,0,"No fires recorded"
"178","GLEN VALLEY",3898,0,"No fires recorded"
"179","SWIFTS CREEK",3896,0,"No fires recorded"
"180","WOOLSTHORPE",3276,0,"No fires recorded"
"181","ZUMSTEINS",3401,0,"No fires recorded"
"182","HALLORA",3818,0,"No fires recorded"
"183","MORNINGTON",3931,0,"No fires recorded"
"184","WAITCHIE",3544,0,"No fires recorded"
"185","FERNSHAW",3778,0,"No fires recorded"
"186","DOUGLAS",3401,0,"No fires recorded"
"187","LANGKOOP",3318,0,"No fires recorded"
"188","WENSLEYDALE",3241,0,"No fires recorded"
"189","SERVICETON",3420,0,"No fires recorded"
"190","NETHERBY",3418,0,"No fires recorded"
"191","MARRAWEENEY",3669,0,"No fires recorded"
"192","LICOLA",3858,0,"No fires recorded"
"193","YAAPEET",3424,0,"No fires recorded"
"194","COWANGIE",3506,0,"No fires recorded"
"195","NARBETHONG",3778,0,"No fires recorded"
"196","BOLWARRAH",3352,0,"No fires recorded"
"197","SKENES CREEK",3233,0,"No fires recorded"
"198","MAFEKING",3379,0,"No fires recorded"
"199","CHURCHILL ISLAND",3925,0,"No fires recorded"
"200","MASSEY",3482,0,"No fires recorded"
"201","PRINCES HILL",3054,0,"No fires recorded"
"202","SUNSET STRIP",3922,0,"No fires recorded"
"203","EUREKA",3350,0,"No fires recorded"
