latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-37.4575,144.8171,303.6,1.1,1.1,2020-05-02,0411,Aqua,MODIS,56,6.03,279.3,10.1,D,0
-36.499,148.5701,300.7,1.1,1,2020-05-04,0358,Aqua,MODIS,41,6.03,287.8,4.7,D,0
-37.1304,148.6698,322.2,1.3,1.1,2020-05-05,0026,Terra,MODIS,74,6.03,285.6,28.9,D,0
-35.8115,145.7891,306.1,1,1,2020-05-05,0026,Terra,MODIS,63,6.03,288,7.4,D,0
-37.1219,148.6624,324.4,1.3,1.1,2020-05-05,0026,Terra,MODIS,82,6.03,286.8,32.4,D,0
-37.1321,148.6605,358.2,1.3,1.1,2020-05-05,0026,Terra,MODIS,99,6.03,287.6,117.9,D,0
-37.1288,148.655,354.7,1.3,1.1,2020-05-05,0026,Terra,MODIS,98,6.03,289.7,106.2,D,0
-38.3884,146.6908,342.1,1.1,1,2020-05-05,0027,Terra,MODIS,93,6.03,287.5,56.3,D,0
-38.3901,146.7039,313.3,1.1,1,2020-05-05,0027,Terra,MODIS,74,6.03,285.8,15.3,D,0
-38.398,146.6892,313.6,1.1,1,2020-05-05,0027,Terra,MODIS,74,6.03,283.9,15.8,D,0
-38.1544,143.8073,304.2,1,1,2020-05-05,0027,Terra,MODIS,58,6.03,288.1,6.7,D,0
-37.9591,141.1836,306.1,1.2,1.1,2020-05-05,0027,Terra,MODIS,19,6.03,287.7,9,D,0
-37.9687,141.181,321.8,1.2,1.1,2020-05-05,0027,Terra,MODIS,81,6.03,287.4,25.3,D,0
-37.971,141.1942,341.8,1.2,1.1,2020-05-05,0027,Terra,MODIS,93,6.03,287.6,59.4,D,0
-37.6437,143.4275,301.8,1,1,2020-05-05,0027,Terra,MODIS,49,6.03,286.1,6.1,D,0
-37.8289,144.7854,300.8,1,1,2020-05-05,0027,Terra,MODIS,39,6.03,289.3,3.5,D,2
-37.6455,143.4389,309.1,1,1,2020-05-05,0027,Terra,MODIS,68,6.03,286.1,10.7,D,0
-38.0365,145.8755,321.8,1,1,2020-05-05,0027,Terra,MODIS,81,6.03,286.7,22.6,D,0
-37.7453,142.7856,309.5,1,1,2020-05-05,0027,Terra,MODIS,69,6.03,287,10.3,D,0
-37.7545,142.7832,306.4,1,1,2020-05-05,0027,Terra,MODIS,63,6.03,286.7,8,D,0
-37.7497,143.1791,341.9,1.2,1.1,2020-05-05,0441,Aqua,MODIS,93,6.03,291.2,59.6,D,0
-37.752,143.1658,339.3,1.2,1.1,2020-05-05,0441,Aqua,MODIS,91,6.03,291.8,53.9,D,0
-37.996,141.2246,309.2,1,1,2020-05-05,0441,Aqua,MODIS,61,6.03,277.2,11.6,D,0
-37.9978,141.213,313.1,1,1,2020-05-05,0441,Aqua,MODIS,73,6.03,274,14.5,D,0
-37.5864,143.3539,303.3,1.2,1.1,2020-05-05,0441,Aqua,MODIS,52,6.03,287.6,7.5,D,0
-37.3937,142.3751,351.7,1.1,1.1,2020-05-05,0441,Aqua,MODIS,97,6.03,294.7,77.1,D,0
-37.3779,142.4103,317.5,1.1,1.1,2020-05-05,0441,Aqua,MODIS,78,6.03,290.8,17.8,D,0
-37.38,142.3976,343.4,1.1,1.1,2020-05-05,0441,Aqua,MODIS,93,6.03,292.6,57.3,D,0
-37.3821,142.3851,358.5,1.1,1.1,2020-05-05,0441,Aqua,MODIS,99,6.03,294,95.2,D,0
-37.3842,142.3725,305.6,1.1,1.1,2020-05-05,0441,Aqua,MODIS,34,6.03,290.3,7.2,D,0
-37.3684,142.4077,384.2,1.1,1.1,2020-05-05,0441,Aqua,MODIS,100,6.03,296.8,201.4,D,0
-37.3706,142.3951,369.6,1.1,1.1,2020-05-05,0441,Aqua,MODIS,100,6.03,295.8,134.2,D,0
-37.5952,140.8889,304.7,1,1,2020-05-05,0441,Aqua,MODIS,34,6.03,288,6.3,D,0
-37.597,140.8774,307.8,1,1,2020-05-05,0441,Aqua,MODIS,48,6.03,288.9,8.3,D,0
-37.5879,140.8752,334.3,1,1,2020-05-05,0441,Aqua,MODIS,89,6.03,289.1,35.9,D,0
-37.3899,141.8916,331.6,1.1,1,2020-05-05,0441,Aqua,MODIS,87,6.03,290.2,33.8,D,0
-37.3806,141.8892,320.3,1.1,1,2020-05-05,0441,Aqua,MODIS,80,6.03,289.2,20.4,D,0
-37.3826,141.8771,310,1.1,1,2020-05-05,0441,Aqua,MODIS,69,6.03,288.7,10.9,D,0
-37.4177,141.3835,300.5,1,1,2020-05-05,0441,Aqua,MODIS,38,6.03,290.1,3.7,D,0
-36.925,142.9529,304.6,1.2,1.1,2020-05-05,0441,Aqua,MODIS,59,6.03,291.1,6.6,D,0
-36.7216,140.932,324.7,1,1,2020-05-05,0441,Aqua,MODIS,83,6.03,293.4,21.9,D,0
-36.7234,140.9204,333.9,1,1,2020-05-05,0441,Aqua,MODIS,89,6.03,293.9,34,D,0
-35.8215,145.7979,308.3,1.8,1.3,2020-05-05,0441,Aqua,MODIS,67,6.03,291.2,16.8,D,0
-35.8254,145.7788,301.5,1.8,1.3,2020-05-05,0441,Aqua,MODIS,45,6.03,291.3,7.4,D,0
-35.8152,145.7889,316.7,1.8,1.3,2020-05-05,0441,Aqua,MODIS,77,6.03,291.2,30.7,D,0
-37.3916,142.3876,344,1.1,1.1,2020-05-05,0441,Aqua,MODIS,93,6.03,292.6,57.3,D,0
-38.3943,146.6965,310.1,1.7,1.3,2020-05-05,0441,Aqua,MODIS,69,6.03,287.2,22.5,D,0
